,topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,Score
347,Calculus,09:04:54.199671,"Derivative formulas through geometry | Essence of calculus, chapter 3",S0_qX4VJhMQ,2017-04-30,0 days 00:18:43.000000000,1.9063489843342531,2.17902567765165,0.33526423274716277,0.0,2.2018986441913238,526
345,Calculus,09:04:54.199671,"Visualizing the chain rule and product rule | Essence of calculus, chapter 4",YG15m2VwSjA,2017-05-01,0 days 00:16:52.000000000,1.0002087851787491,1.1872848037765384,0.08075770240197032,0.0,0.8614036951984316,538
363,Calculus,09:05:00.948841,"The paradox of the derivative | Essence of calculus, chapter 2",9vKqVkMQHKk,2017-04-29,0 days 00:17:57.000000000,2.3872414309751755,2.917829183726285,0.8243593910627066,0.0,2.4083012137433677,566
252,Calculus,09:04:46.836330,Fundamental Theorem of Calculus Part 1,PGmVvIglZx8,2008-11-22,0 days 00:09:26.000000000,1.7226378856504831,0.4110149999186622,0.22903542008134334,0.0,0.8210205837643361,670
1,Calculus,09:04:12.372046,Why Calculus? - Lesson 1 | Don&#39;t Memorise,IBoAm4mZNxc,2019-01-22,0 days 00:10:04.000000000,0.3580551810155775,0.5352117912937465,0.439279945149111,0.0,0.847942658053733,672
265,Calculus,09:04:46.836330,"Integration and the fundamental theorem of calculus | Essence of calculus, chapter 8",rfG8ce4nNh0,2017-05-05,0 days 00:20:46.000000000,1.0247556435187573,1.129889624193701,0.16706861269294865,0.0,0.5517998408703662,680
418,Calculus,09:05:07.796555,Calculus 2 Lecture 6.1:  The Natural Log Function,H9eCT6f_Ftw,2014-01-18,0 days 02:22:46.000000000,0.9527788354514,0.029337055692793334,-0.17596192820709342,0.0,0.17825606010498274,712
398,Calculus,09:05:00.948841,Stand and Deliver (1988) - I Want to Teach Calculus Scene (5/9) | Movieclips,a81pNygdAXw,2017-06-27,0 days 00:02:19.000000000,0.5828987623838557,-0.04870444543442589,-0.14276542424902483,0.0,0.05710672580269622,719
0,Calculus,09:04:12.372046,1. What is Calculus | (Hindi),2n41IqOMbdc,2016-01-22,0 days 00:04:23.000000000,0.4857203340072266,0.4482421511203082,0.5189515546484756,0.0,0.3285709748874493,722
338,Calculus,09:04:54.199671,Introduction to l&#39;Hôpital&#39;s rule | Derivative applications | Differential Calculus | Khan Academy,PdSzruR5OeE,2010-06-07,0 days 00:08:52.000000000,1.6938048547270648,0.02766302962162724,0.1250197076793951,0.0,-0.02814650944706095,739
391,Calculus,09:05:00.948841,"Integral of exp(-x^2) | MIT 18.02SC Multivariable Calculus, Fall 2010",fWOGfzC3IeY,2011-01-04,0 days 00:09:34.000000000,0.5661989744139452,0.18063712631532866,0.16042931190133491,0.0,0.2478047520192583,741
291,Calculus,09:04:46.836330,"Optimization Calculus - Fence Problems, Cylinder, Volume of Box, Minimum Distance &amp; Norman Window",DdCfufivnjI,2016-11-19,0 days 01:19:15.000000000,0.6794341809291311,0.24608357414520302,-0.0011270073612655255,0.0,0.16030801057871807,763
380,Calculus,09:05:00.948841,Calculus 1 Lecture 5.1:  Finding Area Between Two Curves,c7wur9Lixb0,2014-01-23,0 days 01:33:46.000000000,-0.003324738589449764,-0.11263629824753091,-0.22907633454000315,0.0,-0.06852962088115645,773
439,Calculus,09:05:07.796555,"Limits, L&#39;Hôpital&#39;s rule, and epsilon delta definitions | Essence of calculus, chapter 7",kfF40MiS7zA,2017-05-04,0 days 00:18:27.000000000,0.9783716340653856,1.1436804103990217,0.16264241216520617,0.0,0.7424978670869281,774
509,Calculus,09:05:21.528155,12 th (NCERT) Mathematics-INTEGRATION  (CALCULUS) EXERCISE-7.2 1 to 11 (Solution)|Pathshala (Hindi),Vb_1v0XHVqo,2018-06-04,0 days 01:14:13.000000000,1.2359113419757377,1.1347522713528024,2.716560116672616,0.0,1.6197087876831138,776
383,Calculus,09:05:00.948841,Gamma Function - Properties &amp; Its Application | Integral Calculus,SduCO-r_TOA,2018-12-06,0 days 00:13:50.000000000,-0.04959122666372277,0.057157774685029805,-0.0033401076251367645,0.0,0.29155312273952844,794
390,Calculus,09:05:00.948841,12 th (NCERT) Mathematics-INTEGRATION  (CALCULUS) | EXERCISE-7.4 (Solution)|Pathshala ( hindi ),LA4Kl3WbfMQ,2018-08-11,0 days 01:22:18.000000000,0.3729333876094597,0.3134431946278386,1.067800420088543,0.0,0.5820871744459377,802
323,Calculus,09:04:54.199671,Power Series - Finding The Radius &amp; Interval of Convergence - Calculus 2,EGni2-m5yxM,2018-04-01,0 days 00:49:38.000000000,0.17161758633672036,0.030692219655165883,-0.12063442161031243,0.0,-0.03263352182862712,803
245,Calculus,09:04:39.888233,20 Years of Dental Calculus Removed with Ultrasonic and IV Sedation,1zzFa6zLBD8,2018-04-26,0 days 00:01:49.000000000,2.4800833204630663,-0.017535674299857234,0.7203436786607583,0.0,0.26687455464091453,806
60,Calculus,09:04:19.464938,Oxford Mathematics 1st Year Student Lecture - Introductory Calculus,I3GWzXRectE,2019-10-23,0 days 00:58:03.000000000,6.307002500878109,4.14441200072784,3.4026211984727,0.0,10.96054681300848,816
396,Calculus,09:05:00.948841,12 th (NCERT) Mathematics-DIFFRENTIATION (CALCULUS) | EXERCISE-5.4 (Solution)|Pathshala (Hindi),gA1g_PpatO8,2018-05-16,0 days 00:38:11.000000000,0.06891229538876872,0.267606766488767,0.7800973857852818,0.0,0.6505141132648218,816
