,topic,TimeQueried,Video_Title,Video_ID,Published_At,duration,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,DateQueried
0,Calculus,09:04:12.372046,1. What is Calculus | (Hindi),2n41IqOMbdc,2016-01-22,0 days 00:04:23.000000000,0.4857203340072266,0.4482421511203082,0.5189515546484756,0.0,0.3285709748874493,2020-08-18
1,Calculus,09:04:12.372046,Why Calculus? - Lesson 1 | Don&#39;t Memorise,IBoAm4mZNxc,2019-01-22,0 days 00:10:04.000000000,0.3580551810155775,0.5352117912937465,0.439279945149111,0.0,0.847942658053733,2020-08-18
2,Calculus,09:04:12.372046,Class 11 Chapter 3 Kinematics:  Differentiation || Calculus part 01 || Mathematical Tool,UiVYFFRs_BE,2018-05-01,0 days 01:00:20.000000000,4.9772380231164295,5.768137574231751,4.09974778159214,0.0,10.6531864648712,2020-08-18
3,Calculus,09:04:12.372046,JEE Maths | Calculus in 1 Shot | JEE Main 2020 | Neha Agrawal Ma’am | Vedantu,x8f0DYrrd60,2020-05-25,0 days 05:15:10.000000000,-0.2331428320472872,0.10147960780733205,0.06969220108261412,0.0,0.017845367463992262,2020-08-18
4,Calculus,09:04:12.372046,Calculus in 5 hours - Mathematics Class 12 - One Shot - Crash Course - Revision - by Sourabh Mahajan,Ro1v14U4DDU,2020-03-08,0 days 06:46:10.000000000,-0.2921251333400283,-0.12180358387534522,-0.12727372240192614,0.0,-0.14929584374934746,2020-08-18
5,Calculus,09:04:12.372046,Differentiation Basics L-1 | Decoding Calculus | Class 11 Maths | JEE Main | Pulkit Sir | Vedantu,xVDZRJeB8mA,2019-07-14,0 days 00:49:54.000000000,-0.1755388886436882,0.10953087605436895,0.22682231981747208,0.0,0.08178529390131013,2020-08-18
6,Calculus,09:04:12.372046,CALCULUS FOR PHYSICS || BASIC PHYSICS || DERIVATIVE &amp; INTEGRATION || CLASS 11 &amp; 12,m2JN7wsn7qI,2020-05-04,0 days 00:41:08.000000000,-0.29888597039188614,-0.1273039552520338,-0.06530691501353146,0.0,-0.03824228730558483,2020-08-18
7,Calculus,09:04:12.372046,What is Calculus?  (Mathematics),w3GV9pumczQ,2016-09-29,0 days 00:09:14.000000000,0.9892423616320057,0.9998735993331346,0.6030493646755827,0.0,0.5854524337321123,2020-08-18
8,Calculus,09:04:12.372046,Calculus -- The foundation of modern science,rjLJIVoQxz4,2014-04-11,0 days 00:19:04.000000000,0.7293908403071,0.7264493410426729,0.5078860533291194,0.0,1.168764043335714,2020-08-18
9,Calculus,09:04:12.372046,Calculus: Introduction to Calculus | 11th Physics | Basic Maths video 07,zQYoihJWHe0,2019-06-02,0 days 00:17:20.000000000,-0.32699036876489324,-0.1859745832700454,-0.19145363005419208,0.0,-0.06292085540419874,2020-08-18
10,Calculus,09:04:12.372046,Introduction to Calculus (1 of 2: Seeing the big picture),tt2DGYOi3hc,2015-06-26,0 days 00:12:11.000000000,1.7850568478434363,1.3325264943319965,0.6074755652033251,0.0,0.83111636162286,2020-08-18
11,Calculus,09:04:12.372046,Understand Calculus in 10 Minutes,WjJ-kpgps1c,2017-05-19,0 days 00:21:58.000000000,5.547562560374539,3.4887517895211206,9.181025987440504,0.0,5.7455166725332045,2020-08-18
12,Calculus,09:04:12.372046,"The Essence of Calculus, Chapter 1",WUvTyaaNkzM,2017-04-28,0 days 00:17:05.000000000,5.541881241133543,7.53957601963427,1.4064047604608425,0.0,4.066252288732066,2020-08-18
13,Calculus,09:04:12.372046,Calculus explained with a real life example in Hindi.,DTEDY95V9Dc,2017-10-28,0 days 00:04:24.000000000,-0.31184354187592844,-0.19378670493548716,-0.14276542424902483,0.0,-0.20313999232814145,2020-08-18
14,Calculus,09:04:12.372046,Calculus for Beginners full course | Calculus for Machine learning,8stueNPVl-I,2019-08-13,0 days 10:52:32.000000000,-0.2730295881133507,-0.15408837239069129,-0.22907633454000315,0.0,-0.24688836304841158,2020-08-18
15,Calculus,09:04:12.372046,History of Calculus - Animated,IMj5dgGWxSM,2018-10-29,0 days 00:06:43.000000000,-0.3681312458336232,-0.2624217738532969,-0.2445680363871018,0.0,-0.3040977709133802,2020-08-18
16,Calculus,09:04:12.372046,Dr.H.C.Verma Teaching Calculus 1/6,Mo98xJZyCPU,2015-08-21,0 days 00:31:52.000000000,0.5039076068611564,0.1999282838973379,0.4636240480516946,0.0,0.1535774920063688,2020-08-18
17,Calculus,09:04:12.372046,dy/dx னா இவ்வளவு தானா? | Basics of Calculus | LMES,YFwDVViULiA,2019-04-21,0 days 00:04:35.000000000,0.5133126749427327,1.7841946714380477,0.6495244702168788,0.0,1.6814052079296486,2020-08-18
18,Calculus,09:04:12.372046,"Calculus, what is it good for?",0Be_6Qaq1es,2018-06-04,0 days 00:07:43.000000000,0.6977322596547825,1.6864634350928274,0.392804839607815,0.0,0.7200628051790973,2020-08-18
19,Calculus,09:04:12.372046,"Calculus 1 Introduction, Basic Review, Limits, Continuity, Derivatives, Integration, IB, AP, &amp; AB",rCxi-O79sVo,2017-01-01,0 days 02:46:04.000000000,1.5103506242004678,0.9480585066541841,0.4680502485794371,0.0,0.659488138027954,2020-08-18
20,Calculus,09:04:12.372046,Nda Calculus Live,S47-YvlmZt0,2020-03-15,0 days 00:41:37.000000000,-0.36857446932050936,-0.22256401025410427,-0.23128943480387437,0.0,-0.23791433828527925,2020-08-18
